time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 20:12:00,151.417,151.419,151.416,151.417,14,1,0,151.40085000000002,False,
2025-02-17 20:13:00,151.417,151.421,151.417,151.421,8,2,0,151.4008,False,
2025-02-17 20:14:00,151.421,151.422,151.42,151.421,6,0,0,151.40085,True,
2025-02-17 20:15:00,151.421,151.421,151.416,151.416,7,0,0,151.40075,False,
2025-02-17 20:16:00,151.416,151.419,151.401,151.406,18,1,0,151.40045,False,
2025-02-17 20:17:00,151.406,151.407,151.403,151.405,13,1,0,151.40064999999998,True,
2025-02-17 20:18:00,151.405,151.405,151.401,151.403,14,2,0,151.402,True,
2025-02-17 20:19:00,151.403,151.405,151.403,151.403,11,0,0,151.40285,True,
2025-02-17 20:20:00,151.403,151.403,151.4,151.401,8,2,0,151.404,True,
2025-02-17 20:21:00,151.401,151.404,151.401,151.404,4,0,0,151.405,True,
2025-02-17 20:22:00,151.404,151.404,151.403,151.403,2,1,0,151.4051,True,
2025-02-17 20:23:00,151.403,151.404,151.401,151.404,6,0,0,151.40529999999998,True,
2025-02-17 20:24:00,151.404,151.407,151.401,151.402,7,0,0,151.4059,True,
2025-02-17 20:25:00,151.402,151.403,151.401,151.402,15,1,0,151.4067,True,
2025-02-17 20:26:00,151.402,151.403,151.399,151.399,6,1,0,151.40675,True,
2025-02-17 20:27:00,151.399,151.401,151.398,151.4,11,1,0,151.40675,False,
2025-02-17 20:28:00,151.4,151.401,151.398,151.401,22,0,0,151.407,True,
2025-02-17 20:29:00,151.401,151.401,151.391,151.393,6,0,0,151.40665,False,
2025-02-17 20:30:00,151.393,151.405,151.392,151.403,14,0,0,151.40605,False,
2025-02-17 20:31:00,151.403,151.405,151.391,151.393,28,1,0,151.40484999999998,False,
2025-02-17 20:32:00,151.393,151.404,151.393,151.403,16,0,0,151.40415,False,
2025-02-17 20:33:00,151.403,151.409,151.403,151.404,33,0,0,151.4033,False,
2025-02-17 20:34:00,151.404,151.408,151.403,151.407,21,1,0,151.4026,False,
2025-02-17 20:35:00,151.407,151.411,151.407,151.408,21,0,0,151.4022,False,
2025-02-17 20:36:00,151.408,151.409,151.394,151.394,9,0,0,151.4016,False,
2025-02-17 20:37:00,151.393,151.405,151.393,151.405,16,0,0,151.40159999999997,False,
2025-02-17 20:38:00,151.405,151.405,151.4,151.401,11,0,0,151.4015,False,
2025-02-17 20:39:00,151.401,151.405,151.392,151.394,22,2,0,151.40105,False,
2025-02-17 20:40:00,151.394,151.395,151.392,151.394,13,1,0,151.4007,False,
2025-02-17 20:41:00,151.394,151.395,151.392,151.395,14,2,0,151.40025,False,
2025-02-17 20:42:00,151.395,151.395,151.381,151.385,7,2,0,151.39935,False,
2025-02-17 20:43:00,151.385,151.394,151.383,151.393,23,1,0,151.3988,False,
2025-02-17 20:44:00,151.393,151.393,151.384,151.386,18,0,0,151.398,False,
2025-02-17 20:45:00,151.386,151.386,151.381,151.382,11,1,0,151.397,False,
2025-02-17 20:46:00,151.382,151.387,151.381,151.384,33,0,0,151.39625,False,
2025-02-17 20:47:00,151.384,151.386,151.383,151.386,29,0,0,151.39555000000001,False,
2025-02-17 20:48:00,151.386,151.388,151.379,151.379,23,0,0,151.39444999999998,False,
2025-02-17 20:49:00,151.379,151.388,151.379,151.387,41,0,0,151.39415,False,
2025-02-17 20:50:00,151.387,151.387,151.379,151.385,53,0,0,151.39325,False,
2025-02-17 20:51:00,151.385,151.385,151.379,151.382,17,0,0,151.3927,False,
2025-02-17 20:52:00,151.382,151.385,151.38,151.384,47,0,0,151.39175,False,
2025-02-17 20:53:00,151.384,151.394,151.384,151.389,32,0,0,151.39100000000002,False,
2025-02-17 20:54:00,151.389,151.391,151.378,151.379,43,2,0,151.3896,False,
2025-02-17 20:55:00,151.379,151.382,151.379,151.382,9,0,0,151.38830000000002,False,
2025-02-17 20:56:00,151.381,151.383,151.378,151.381,17,0,0,151.38764999999998,False,
2025-02-17 20:57:00,151.381,151.381,151.377,151.379,22,1,0,151.38635000000002,False,
2025-02-17 20:58:00,151.38,151.381,151.377,151.379,18,0,0,151.38524999999998,False,
2025-02-17 20:59:00,151.379,151.379,151.376,151.377,14,0,0,151.3844,False,
2025-02-17 21:00:00,151.377,151.377,151.363,151.369,36,2,0,151.38315,False,
2025-02-17 21:01:00,151.369,151.37,151.366,151.367,71,2,0,151.38174999999998,False,
2025-02-17 21:02:00,151.367,151.37,151.367,151.369,37,1,0,151.38095,False,
2025-02-17 21:03:00,151.369,151.389,151.368,151.382,101,2,0,151.3804,False,
2025-02-17 21:04:00,151.382,151.385,151.381,151.382,52,0,0,151.3802,False,
2025-02-17 21:05:00,151.382,151.382,151.378,151.379,23,2,0,151.38005,False,
2025-02-17 21:06:00,151.379,151.381,151.379,151.381,9,1,0,151.3799,False,
2025-02-17 21:07:00,151.381,151.382,151.378,151.381,16,0,0,151.37965,False,
2025-02-17 21:08:00,151.381,151.382,151.377,151.381,15,0,0,151.37975,True,
2025-02-17 21:09:00,151.381,151.383,151.38,151.382,24,0,0,151.3795,False,
2025-02-17 21:10:00,151.382,151.394,151.382,151.394,13,0,0,151.37995,True,
2025-02-17 21:11:00,151.394,151.394,151.388,151.389,34,0,0,151.3803,True,
2025-02-17 21:12:00,151.39,151.391,151.39,151.391,10,0,0,151.38065,True,
2025-02-17 21:13:00,151.391,151.393,151.388,151.39,31,2,0,151.3807,True,
2025-02-17 21:14:00,151.39,151.392,151.388,151.389,31,1,0,151.3812,True,
2025-02-17 21:15:00,151.389,151.39,151.377,151.38,42,3,0,151.3811,False,
2025-02-17 21:16:00,151.38,151.381,151.367,151.377,51,0,0,151.38090000000003,False,
